id,geographic-area-name,median-income
0500000US19113,"Linn County, Iowa",63559
0500000US19153,"Polk County, Iowa",66918
0500000US19155,"Pottawattamie County, Iowa",60056
0500000US19163,"Scott County, Iowa",65122
0500000US19169,"Story County, Iowa",63107
0500000US19193,"Woodbury County, Iowa",58945
0500000US20015,"Butler County, Kansas",61951
0500000US20045,"Douglas County, Kansas",64233
0500000US20091,"Johnson County, Kansas",91771
0500000US20103,"Leavenworth County, Kansas",77070
0500000US20161,"Riley County, Kansas",50920
0500000US20173,"Sedgwick County, Kansas",59716
0500000US20177,"Shawnee County, Kansas",59441
0500000US20209,"Wyandotte County, Kansas",46964
0500000US21015,"Boone County, Kentucky",76443
0500000US21029,"Bullitt County, Kentucky",65560
0500000US21037,"Campbell County, Kentucky",66439
0500000US21047,"Christian County, Kentucky",47445
0500000US21059,"Daviess County, Kentucky",50964
0500000US21067,"Fayette County, Kentucky",58356
0500000US21093,"Hardin County, Kentucky",57463
0500000US21111,"Jefferson County, Kentucky",59049
0500000US21117,"Kenton County, Kentucky",68849
0500000US21145,"McCracken County, Kentucky",45084
0500000US21151,"Madison County, Kentucky",49421
0500000US21185,"Oldham County, Kentucky",97968
0500000US21227,"Warren County, Kentucky",52645
0500000US22005,"Ascension Parish, Louisiana",85425
0500000US22015,"Bossier Parish, Louisiana",49962
0500000US22017,"Caddo Parish, Louisiana",45537
0500000US22019,"Calcasieu Parish, Louisiana",51246
0500000US22033,"East Baton Rouge Parish, Louisiana",56451
0500000US22045,"Iberia Parish, Louisiana",50991
0500000US22051,"Jefferson Parish, Louisiana",56069
0500000US22055,"Lafayette Parish, Louisiana",60567
0500000US22057,"Lafourche Parish, Louisiana",51339
0500000US22063,"Livingston Parish, Louisiana",62187
0500000US22071,"Orleans Parish, Louisiana",45615
0500000US22073,"Ouachita Parish, Louisiana",41137
0500000US22079,"Rapides Parish, Louisiana",50490
0500000US22097,"St. Landry Parish, Louisiana",38681
0500000US22103,"St. Tammany Parish, Louisiana",69076
0500000US22105,"Tangipahoa Parish, Louisiana",47825
0500000US22109,"Terrebonne Parish, Louisiana",48446
0500000US23001,"Androscoggin County, Maine",63813
0500000US23003,"Aroostook County, Maine",38768
0500000US23005,"Cumberland County, Maine",76059
0500000US23011,"Kennebec County, Maine",55389
0500000US23019,"Penobscot County, Maine",50449
0500000US23031,"York County, Maine",66648
0500000US24001,"Allegany County, Maryland",48867
0500000US24003,"Anne Arundel County, Maryland",101147
0500000US24005,"Baltimore County, Maryland",77358
0500000US24009,"Calvert County, Maryland",112380
0500000US24013,"Carroll County, Maryland",103014
0500000US24015,"Cecil County, Maryland",76441
0500000US24017,"Charles County, Maryland",103932
0500000US24021,"Frederick County, Maryland",103516
0500000US24025,"Harford County, Maryland",92331
0500000US24027,"Howard County, Maryland",121618
0500000US24031,"Montgomery County, Maryland",110389
0500000US24033,"Prince George's County, Maryland",86290
0500000US24037,"St. Mary's County, Maryland",87947
0500000US24043,"Washington County, Maryland",59140
0500000US24045,"Wicomico County, Maryland",54402
0500000US24510,"Baltimore city, Maryland",50177
0500000US25001,"Barnstable County, Massachusetts",85042
0500000US25003,"Berkshire County, Massachusetts",58895
0500000US25005,"Bristol County, Massachusetts",70402
0500000US25009,"Essex County, Massachusetts",83810
0500000US25011,"Franklin County, Massachusetts",60018
0500000US25013,"Hampden County, Massachusetts",60161
0500000US25015,"Hampshire County, Massachusetts",74778
0500000US25017,"Middlesex County, Massachusetts",107056
0500000US25021,"Norfolk County, Massachusetts",107361
0500000US25023,"Plymouth County, Massachusetts",90880
0500000US25025,"Suffolk County, Massachusetts",77558
0500000US25027,"Worcester County, Massachusetts",78345
0500000US26005,"Allegan County, Michigan",66278
