,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
176,9/30/2020,Arkansas,AR,Stone,5137,"12,506",0.733,365,0.00365,13,0.00013,"34,009",0.12,0.23,0.883,0.7879999999999999,0.08199999999999999,0.507,0.565,0.725
180,9/30/2020,Arkansas,AR,White,5145,"78,753",0.544,898,0.00898,29,0.00029,"44,811",0.09,0.2,0.638,0.537,0.48700000000000004,0.54,0.36,0.5539999999999999
181,9/30/2020,Arkansas,AR,Woodruff,5147,"6,320",0.983,55,0.00055,0,0.0,"34,306",0.1,0.26,0.91,0.972,0.382,0.902,0.898,0.9329999999999999
182,9/30/2020,Arkansas,AR,Yell,5149,"21,341",0.879,1259,0.01259,29,0.00029,"41,729",0.12,0.25,0.736,0.95,0.8420000000000001,0.715,0.419,0.79
183,9/30/2020,California,CA,Alameda,6001,"1,671,329",0.243,21404,0.21404,412,0.00412,"101,744",0.06,0.12,0.184,0.027999999999999997,0.971,0.604,0.09300000000000001,0.413
184,9/30/2020,California,CA,Alpine,6003,"1,129",0.9059999999999999,2,2e-05,0,0.0,"55,384",0.08,0.16,0.813,0.787,0.747,0.9890000000000001,0.28800000000000003,0.6990000000000001
185,9/30/2020,California,CA,Amador,6005,"39,752",0.5,293,0.00293,16,0.00016,"58,515",0.06,0.13,0.387,0.303,0.612,0.593,0.396,0.5710000000000001
186,9/30/2020,California,CA,Butte,6007,"219,186",0.48,2848,0.02848,45,0.00045,"50,945",0.07,0.17,0.607,0.327,0.7759999999999999,0.758,0.057,0.5920000000000001
190,9/30/2020,California,CA,Del Norte,6015,"27,812",0.547,144,0.00144,1,1e-05,"48,518",0.06,0.18,0.7909999999999999,0.598,0.8340000000000001,0.9209999999999999,0.07,0.384
195,9/30/2020,California,CA,Imperial,6025,"181,215",0.9209999999999999,11908,0.11908,319,0.00319,"46,633",0.08,0.25,0.9740000000000001,0.675,0.997,0.88,0.106,0.586
198,9/30/2020,California,CA,Kings,6031,"152,940",0.8390000000000001,7682,0.07682,80,0.0008,"58,255",0.09,0.21,0.7859999999999999,0.578,0.9740000000000001,0.579,0.317,0.755
199,9/30/2020,California,CA,Lake,6033,"64,386",0.958,566,0.00566,11,0.00011,"45,086",0.09,0.18,0.7490000000000001,0.852,0.863,0.915,0.843,0.649
201,9/30/2020,California,CA,Los Angeles,6037,"10,039,107",0.489,270299,2.70299,6576,0.06576,"67,986",0.1,0.16,0.589,0.08,0.983,0.647,0.11199999999999999,0.469
