date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
9/30/2020,Florida,FL,Levy,12075,,0.919,1044,0.01044,9,9e-05,39037,0.18,0.23,0.8340000000000001,0.795,0.648,0.634,0.677,0.9540000000000001
9/30/2020,Florida,FL,Liberty,12077,,0.812,517,0.00517,8,8e-05,40814,0.147,0.25,0.867,0.58,0.706,0.794,0.179,0.978
9/30/2020,Florida,FL,Madison,12079,,0.867,1017,0.01017,20,0.0002,38249,0.142,0.24,0.865,0.627,0.769,0.904,0.256,0.958
9/30/2020,Florida,FL,Manatee,12081,,0.39,11579,0.11579,291,0.00291,59587,0.161,0.17,0.331,0.281,0.754,0.239,0.28800000000000003,0.562
9/30/2020,Florida,FL,Marion,12083,,0.642,9774,0.09774,290,0.0029,44517,0.154,0.21,0.679,0.536,0.6759999999999999,0.223,0.5,0.603
9/30/2020,Florida,FL,Martin,12085,,0.44799999999999995,4927,0.04927,143,0.00143,61592,0.17,0.15,0.185,0.21,0.628,0.284,0.8109999999999999,0.529
9/30/2020,Florida,FL,Miami-Dade,12086,,0.8140000000000001,170399,1.70399,3280,0.0328,52043,0.2,0.24,0.65,0.11900000000000001,0.997,0.621,0.45299999999999996,0.7509999999999999
9/30/2020,Florida,FL,Monroe,12087,,0.7390000000000001,1847,0.01847,22,0.00022,67094,0.203,0.16,0.10300000000000001,0.057,0.853,0.8370000000000001,0.9840000000000001,0.7020000000000001
9/30/2020,Florida,FL,Nassau,12089,,0.389,2127,0.02127,45,0.00045,66898,0.125,0.15,0.212,0.505,0.39399999999999996,0.19399999999999998,0.179,0.95
9/30/2020,Florida,FL,Okaloosa,12091,,0.32299999999999995,5035,0.05035,115,0.00115,62779,0.135,0.15,0.297,0.239,0.7020000000000001,0.301,0.145,0.5920000000000001
9/30/2020,Florida,FL,Okeechobee,12093,,0.929,1575,0.01575,27,0.00027,42258,0.225,0.24,0.879,0.514,0.907,0.648,0.643,0.84
9/30/2020,Florida,FL,Orange,12095,,0.5539999999999999,40328,0.40328,457,0.00457,58037,0.157,0.19,0.478,0.106,0.9590000000000001,0.249,0.42,0.5489999999999999
